accepted,years,Teff_K,luminosity_Lsun,radius_Rsun,nuclear_fraction
983,130741468.28575128,2923.439870577917,0.001994688525807415,0.17410144442569667,0.044734630100958336
984,131041468.28575128,2923.2500248051056,0.0019913674811856976,0.17397904485142907,0.04505750342800535
985,131341468.28575128,2923.061219744785,0.0019880620856255493,0.1738570514842191,0.04538169791604078
986,131641468.28575128,2922.8739960684857,0.001984773793741275,0.17373546556399566,0.0457071779907928
987,131941468.28575128,2922.688342707437,0.0019815024833806294,0.17361428520749372,0.046033943127136316
988,132241468.28575128,2922.5042792621202,0.0019782481247994773,0.17349350891492518,0.04636199090663436
989,132541468.28575128,2922.321838093057,0.001975010732618634,0.17337313561701834,0.046691317623489346
990,132841468.28575128,2922.1410392079943,0.0019717902971320366,0.17325316464888937,0.04702191995509207
991,133141468.28575128,2921.9452079112893,0.001968540133365133,0.173133521231771,0.047354914413478826
992,133441468.28575128,2921.7355989727507,0.0019652639674600106,0.17301421333482778,0.04769022792727747
993,133741468.28575128,2921.5300818055334,0.001962011457396992,0.17289530719419285,0.048026669834109484
994,134041468.28575128,2921.3284585111746,0.0019587822436639493,0.17277681393184655,0.048364241891631396
995,134341468.28575128,2921.1278632337558,0.001955568218477979,0.1726587178762955,0.04870313794941931
996,134641468.28575128,2920.9299728658516,0.0019523738868275169,0.17254102178760441,0.04904324273220805
997,134941468.28575128,2920.738458366446,0.0019492094408810141,0.17242374576799563,0.049384293966421536
998,135241468.28575128,2920.552921588762,0.001946073503218782,0.17230688061029717,0.049726316926033194
999,135541468.28575128,2920.3718900388903,0.001942962129917527,0.17219042970278572,0.05006940214887764
1000,135841468.28575128,2920.177984156332,0.0019398284619875905,0.17207436662460265,0.050414755865210444
1001,136141468.28575128,2919.972846635705,0.001936677091661578,0.17195869589064358,0.050762271061732166
1002,136441468.28575128,2919.7636964173903,0.001933526795727547,0.17184339718465227,0.05111146945194059
1003,136741468.28575128,2919.551386906105,0.0019303798431064367,0.17172846998395067,0.05146229516364605
1004,137041468.28575128,2919.3426488042346,0.0019272543949790276,0.17161393097267888,0.051814265609418
1005,137341468.28575128,2919.133559433567,0.0019241399501194177,0.17149977623160675,0.05216765707372155
1006,137641468.28575128,2918.9242270438444,0.001921036757305283,0.17138600514072172,0.05252246168465538
1007,137941468.28575128,2918.7147089111218,0.001917944907285404,0.17127261608008304,0.05287867551741977
1008,138241468.28575128,2918.505049813787,0.0019148644728781503,0.17115960812680442,0.053236294982295686
1009,138541468.28575128,2918.2933818882934,0.0019117898773672272,0.17104695186099575,0.053595474052236046
1010,138841468.28575128,2918.0817755455655,0.0019087270714634838,0.17093467118188407,0.05395604683756397
1011,139141468.28575128,2917.870048425321,0.0019056754430139843,0.17082276119289194,0.05431802884532873
1012,139441468.28575128,2917.656624221965,0.0019026303387684297,0.17071119867250054,0.05468155176111749
1013,139741468.28575128,2917.455377082451,0.0018996292812767503,0.17060004609172696,0.05504553276703344
1014,140041468.28575128,2917.2576138981713,0.0018966487401149887,0.17048926964442931,0.055410637894956594
1015,140341468.28575128,2917.0546710386166,0.0018936652600003473,0.17037882916820887,0.05577754823732222
1016,140641468.28575128,2916.845347996777,0.001890675510854269,0.17026871315079029,0.056146367320758055
1017,140941468.28575128,2916.6368102989895,0.001887698761296053,0.17015895157250419,0.05651652910589451
1018,141241468.28575128,2916.427568279239,0.0018847309784974814,0.17004953770735332,0.05688815197364116
1019,141541468.28575128,2916.216876979956,0.0018817700565396686,0.1699404639703476,0.0572612989387533
1020,141841468.28575128,2916.004967278909,0.0018788167329028861,0.16983173707135854,0.057635948169192486
1021,142141468.28575128,2915.7911192161496,0.0018758689475622417,0.16972334804624115,0.05801216291542535
1022,142441468.28575128,2915.5757687773594,0.0018729280364567452,0.1696153066734998,0.05838990172154861
1023,142741468.28575125,2915.3595479530986,0.0018699953891191164,0.16950760271072168,0.058769122366690095
1024,143041468.28575125,2915.1572751310277,0.0018671105272667745,0.16940030742273468,0.059148577289287976
1025,143341468.28575125,2914.9522069204177,0.0018642287228158854,0.16929334312430414,0.05952966486744602
1026,143641468.28575125,2914.7460515125963,0.0018613544061843162,0.16918671240772706,0.059912245683803426
1027,143941468.28575125,2914.53921027489,0.001858488538970776,0.1690804128795875,0.06029628849782907
1028,144241468.28575125,2914.3328114847027,0.001855634261606774,0.16897445732125818,0.0606816901831828
1029,144541468.28575125,2914.1256468656857,0.0018527882989525654,0.16886883775786904,0.061068555185984065
1030,144841468.28575125,2913.920430675001,0.001849958017752405,0.16876357641234077,0.06145663860844066
1031,145141468.28575125,2913.714053316194,0.0018471348754533878,0.16865864531518254,0.06184622049211591
1032,145441468.28575125,2913.5059732019104,0.0018443173559247407,0.1685540382356247,0.06223735134956601
1033,145741468.28575125,2913.296124127076,0.0018415052391720335,0.16844975286406283,0.06263003929506625
1034,146041468.28575125,2913.083598613086,0.0018386961228121024,0.16834578416741647,0.06302436717588325
1035,146341468.28575125,2912.86956641591,0.0018358930500034394,0.1682421360487341,0.06342023218449751
1036,146641468.28575125,2912.65732235245,0.0018331045851222368,0.16813882108067518,0.06381733766899336
1037,146941468.28575125,2912.4471763844144,0.0018303316714702914,0.16803584867712354,0.06421564541425326
1038,147241468.28575125,2912.2351158339834,0.001827563865427052,0.1679332038425071,0.06461551749520063
1039,147541468.28575125,2912.0249189140527,0.0018248107165937018,0.16783089022637637,0.06501661658124593
1040,147841468.28575125,2911.8105976153242,0.001822056445194151,0.16772887327805586,0.06541950183740126
