mass_g,radius_cm,density_g_cm3,temperature_K,luminosity_erg_s,X,Y3,Y4
1.30773785763508e+31,1265063591.3005645,1328.1948663676478,10193822.959899547,5.9479800995395734e+29,0.01609659464313354,4.015208658892011e-06,0.9638993901482079
1.3480097097182252e+31,1280025823.849141,1317.100875175271,10182328.854727162,6.1997357280194776e+29,0.016386012101996743,4.167363620176433e-06,0.9636098205343834
1.3891406222205825e+31,1295079786.0142255,1305.9252126674082,10170590.610743923,6.46104114690586e+29,0.016684509845758127,4.3267444255457706e-06,0.9633111634098167
1.4311377801985024e+31,1310226030.7997189,1294.66990229384,10158604.203199081,6.732209689327351e+29,0.016992403519034652,4.493723826275147e-06,0.9630031027571394
1.4740081399774296e+31,1325465129.0896122,1283.337153329582,10146365.583097527,7.013562110260998e+29,0.017309946694965033,4.668667760340688e-06,0.9626853846372749
1.51775842218575e+31,1340797671.4061165,1271.9288416938828,10133870.678837579,7.305426702769789e+29,0.017637475532654424,4.851989898959272e-06,0.962357672477447
1.562395104875621e+31,1356224268.782697,1260.4471884204092,10121115.397960635,7.608139082835848e+29,0.017975254448568605,5.0440949105050486e-06,0.9620197014565212
1.6079244167376223e+31,1371745549.6191015,1248.894742805624,10108095.6288151,7.922042329512561e+29,0.01832364154494524,5.24544223183604e-06,0.9616711130128233
1.6543523304158299e+31,1387362159.2346828,1237.2739334776516,10094807.241818955,8.247487046159713e+29,0.018682912060201538,5.456479881770139e-06,0.9613116314599169
1.7016845559303567e+31,1403074762.2751935,1225.587056868348,10081246.090622548,8.58483132846433e+29,0.019053447770592258,5.677719399574513e-06,0.9609408745100085
1.7499265342136737e+31,1418884042.923534,1213.8366484533929,10067408.013258256,8.934440631037558e+29,0.01943553421492223,5.90965744654364e-06,0.9605585561276315
1.7990834307676272e+31,1434790705.2623308,1202.025085967621,10053288.83312855,9.296687844445348e+29,0.019829578732748383,6.152864480821707e-06,0.9601642684027711
1.8491601294477336e+31,1450795473.4766219,1190.155009319031,10038884.359789565,9.671953120797559e+29,0.020235876802601988,6.407891963499143e-06,0.9597577153054349
1.900161226380972e+31,1466899091.7844458,1178.2289385210784,10024190.38995156,1.0060623319259836e+30,0.02065482521843258,6.675361125730867e-06,0.959338499420442
1.9520910240239508e+31,1483102324.9951475,1166.2495587528897,10009202.708326837,1.0463092279580322e+30,0.021086760713011847,6.955898307638396e-06,0.9589062833886808
2.0049535253673042e+31,1499405962.3156254,1154.2189681327236,9993917.087711127,1.0879761530824896e+30,0.021532146759873836,7.250216632994179e-06,0.9584606030234936
2.0587524282930895e+31,1515810815.9936116,1142.140189385755,9978329.289231561,1.1311039296023788e+30,0.02199129463732077,7.55899820916103e-06,0.9580011463644704
2.1134911200907897e+31,1532317716.3406084,1130.0161454430602,9962435.062415963,1.1757339815022072e+30,0.022464650302507105,7.883020344210707e-06,0.957527466677149
2.169172672138521e+31,1548927514.202429,1117.8496162577771,9946230.143689224,1.221908481832791e+30,0.02295262992301328,8.223087656749944e-06,0.9570391469893302
2.225799834754859e+31,1565641081.6702611,1105.6435344432375,9929710.255121134,1.269670127048019e+30,0.023455589822125596,8.580019817239337e-06,0.9565358301580574
2.2833750322274835e+31,1582459313.3045402,1093.4006224917803,9912871.103467472,1.3190622539466597e+30,0.023974046278909276,8.954754955417655e-06,0.9560169989661356
