age_yr,step_yr,R_Rsun,L_Lsun,Teff_K,central_X,central_Y3,step_error_norm,discrete_luminosity_balance,nuclear_rest_mass_balance,last_halfstep_coupling_iterations,convective_mass_fraction,central_T_K,central_rho,surface_X,surface_Y3,nuclear_deposited_Lsun,nuclear_neutrino_Lsun,last_halfstep_gravothermal_Lsun,hydrogen_mass_Msun,thermal_neutrino_Lsun
3547994667074.293,65410356.338901676,0.14257488155691053,0.001995230359660105,3230.749842430714,0.17033666610422876,0.00025658823980524953,0.790948288384094,1.5543122344752192e-15,-5.531776148259837e-10,6,0.6719099288616276,8469559.370272018,291.1489065574774,0.1750357642099613,0.0006854039388571538,0.001995752558043655,4.47699033707219e-05,-5.221441973246443e-07,0.01743954958676152,5.418622232291541e-11
3548060860518.52,66193444.22759388,0.14258541924706494,0.0019957122814968317,3230.8255183892793,0.17020778586617064,0.00025656518535691004,0.7907382218756351,2.220446049250313e-15,-5.546840764480976e-10,6,0.6719099288616276,8468771.234636342,291.2484527496963,0.17503350413459823,0.0006876548668475684,0.0019961882879436913,4.4738541851865505e-05,-4.759522653454927e-07,0.017438038193705888,5.4181509764420034e-11
3548127855322.81,66994804.29037363,0.14259564872928066,0.001996185565930564,3230.9011545116496,0.17007755572187638,0.00025653335104744505,0.7910354253635836,6.661338147750939e-16,-5.331209917969204e-10,6,0.6719099288616276,8468011.510438856,291.3509707564391,0.17503121676404187,0.0006899329116751996,0.0019966180660240178,4.4707903762622896e-05,-4.3244591535591974e-07,0.017436510748486834,5.417809669281354e-11
3548195648449.677,67793126.8666202,0.1426055824327939,0.0019966505713962554,3230.976756752127,0.16994598487585472,0.000256493004594688,0.7912689876585222,-2.220446049250313e-15,-5.501462618795472e-10,6,0.6719099288616276,8467279.146277659,291.45637876777124,0.17502890215051958,0.0006922380181926066,0.001997042002110171,4.4677956358304445e-05,-3.913765379831704e-07,0.017434967325727455,5.417593684068521e-11
3548264239286.711,68590837.03462689,0.14261523197243398,0.001997107649169059,3231.052337275759,0.16981307787219824,0.0002564443904196262,0.7911546333599223,-1.2212453270876722e-15,-5.668667757419144e-10,6,0.6719099288616276,8466573.156383347,291.56460663914646,0.17502656026348,0.0006945702136343953,0.0019974602321095503,4.46486689464972e-05,-3.5252876550521885e-07,0.017433407945025826,5.417498828268416e-11
3548333642235.676,69402948.96508771,0.14262462682522128,0.0019975581018678683,3231.1280905098033,0.16967881028630274,0.0002563876590935351,0.7915560721553222,-1.1102230246251565e-16,-4.970954758931612e-10,6,0.6693551541438225,8465893.030325476,291.67563236469226,0.17502423611946016,0.0006968851079279504,0.0019978738651963814,4.462000239275763e-05,-3.157091532906106e-07,0.017431832286488928,5.417522315654514e-11
3548403849102.403,70206866.72754061,0.14263376140626025,0.0019980015183681085,3231.2039147668465,0.1695432014955932,0.00025632300500843565,0.7913628317837013,6.661338147750939e-16,-5.025893035082163e-10,6,0.6693551541438225,8465237.764851023,291.7893928814123,0.1750218849148559,0.000699226883815372,0.001998282116494917,4.459194305016461e-05,-2.8054395020021707e-07,0.017430240543393653,5.4176606805111485e-11
3548474877869.4995,71028767.09694983,0.14264264359823028,0.001998438058074584,3231.279786549111,0.16940622041927197,0.00025625064178619615,0.7919597229942045,-1.1102230246251565e-16,-5.534945834995142e-10,6,0.6693551541438225,8464606.192910705,291.9058583359655,0.17501950599590144,0.0007015961892609215,0.0019986852925117857,4.456445967674126e-05,-2.4718025809785296e-07,0.017428632315903275,5.417910392951117e-11
3548546711073.5664,71833204.06657176,0.14265127965901817,0.001998867866462822,3231.355695080393,0.1692679044294614,0.00025617078194216587,0.7917194221702604,1.9984014443252818e-15,-5.301838967852746e-10,6,0.6693551541438225,8463997.743913915,292.0249484516403,0.17501709989582104,0.0007039924899603055,0.0019990833778482067,4.45375362828019e-05,-2.154572026977703e-07,0.017427008007246725,5.418268310303958e-11
3548619368849.21,72657775.6441578,0.14265967965133655,0.001999291303571932,3231.431673142398,0.169128218542222,0.00025608357225810364,0.7921342039772516,-1.4432899320127035e-15,-5.349386489328367e-10,6,0.6693551541438225,8463411.592693718,292.1466525113935,0.17501466588815656,0.0007064165060954751,0.00199947657780625,4.451114497700832e-05,-1.8522004700206496e-07,0.017425367170448992,5.4187318242438293e-11
