run,model,age_yr,central_X,central_Y3,L_Lsun,R_Rsun,Teff_K,central_convective_flag
ferguson-20000,4886,2627922870126.3076,0.06604684080053888,5.7566991514729516e-05,0.007794618599791013,0.11945148771021992,4962.0,1
ferguson-20000,4887,2627999433955.1494,0.06602681794028474,5.752426734649506e-05,0.007795626959247649,0.11945148771021992,4962.0,1
ferguson-20000,4888,2628075963607.21,0.06600680483160702,5.748158312794965e-05,0.007796635318704285,0.11945148771021992,4963.0,1
ferguson-20000,4889,2628152459112.593,0.06598680146541396,5.7438939285407775e-05,0.007796635318704285,0.11945148771021992,4963.0,1
ferguson-20000,4890,2628228923994.1606,0.06596680724935872,5.7396546897218685e-05,0.007795626959247649,0.11945148771021992,4963.0,1
ferguson-20000,4891,2628305371064.7173,0.06594682011335586,5.7355138223960403e-05,0.007794618599791013,0.11945148771021992,4963.0,1
ferguson-20000,4892,2628381802456.9463,0.0659268399823712,5.7314688146528964e-05,0.007792601880877743,0.11945148771021992,4962.0,1
ferguson-20000,4893,2628458226931.1367,0.06590686567216231,5.727557289370222e-05,0.007790585161964472,0.11945148771021992,4962.0,1
ferguson-20000,4894,2628534645279.3574,0.0658868974377532,5.7237629912937526e-05,0.007791593521421108,0.11945148771021992,4962.0,1
ferguson-20000,4895,2628611030557.035,0.06586694009578306,5.719906089048284e-05,0.007792601880877743,0.11945148771021992,4963.0,1
ferguson-20000,4896,2628687380739.347,0.0658469937799304,5.7159849565808775e-05,0.0077936102403343786,0.11945148771021992,4963.0,1
ferguson-20000,4897,2628763696268.303,0.06582705820893506,5.712012998504376e-05,0.0077936102403343786,0.11945148771021992,4963.0,1
ferguson-20000,4898,2628839978833.462,0.06580713293651494,5.7080088419815044e-05,0.007794618599791013,0.11945148771021992,4963.0,1
ferguson-20000,4899,2628916226883.4097,0.06578721810631735,5.703968959837531e-05,0.007795626959247649,0.11945148771021992,4963.0,1
ferguson-20000,4900,2628992440413.1235,0.06576731359648494,5.6998995293184836e-05,0.007796635318704285,0.11935144458818457,4964.0,1
ferguson-20000,4901,2629068619537.5015,0.06574741928377095,5.695806458241317e-05,0.007797643678160921,0.11935144458818457,4964.0,1
ferguson-20000,4902,2629144764366.793,0.0657275350633781,5.6916946811094325e-05,0.007797643678160921,0.11935144458818457,4964.0,1
ferguson-20000,4903,2629220874999.6426,0.06570766084720461,5.687568273121059e-05,0.0077986520376175554,0.11935144458818457,4964.0,1
ferguson-20000,4904,2629296951524.1675,0.06568779656109755,5.683430594027652e-05,0.007799660397074189,0.11935144458818457,4965.0,1
ferguson-20000,4905,2629372994015.0015,0.06566794214320622,5.679284384856275e-05,0.007800668756530825,0.11935144458818457,4965.0,1
ferguson-20000,4906,2629449002538.166,0.06564809754132382,5.675131896026979e-05,0.007800668756530825,0.11935144458818457,4965.0,1
ferguson-20000,4907,2629524977173.6904,0.06562826270766725,5.670975101019993e-05,0.007801677115987461,0.11935144458818457,4965.0,1
ferguson-20000,4908,2629600918016.9277,0.06560843759783452,5.6668157483848845e-05,0.007802685475444096,0.11935144458818457,4966.0,1
ferguson-20000,4909,2629676825119.444,0.0655886221799626,5.6626550468220224e-05,0.0078036938349007315,0.11935144458818457,4966.0,1
ferguson-20000,4910,2629752698525.6953,0.0655688164269858,5.658493966130121e-05,0.0078036938349007315,0.11935144458818457,4966.0,1
ferguson-20000,4911,2629828538276.5186,0.06554902031535788,5.654333298369038e-05,0.007804702194357367,0.11935144458818457,4966.0,1
ferguson-20000,4912,2629904344409.7563,0.06552923382441915,5.6501736903104726e-05,0.007805710553814002,0.11935144458818457,4967.0,1
ferguson-20000,4913,2629980116962.094,0.06550945693565681,5.646015677643863e-05,0.007806718913270637,0.11935144458818457,4967.0,1
ferguson-20000,4914,2630055855968.616,0.06548968963244668,5.6418597000916145e-05,0.007806718913270637,0.11935144458818457,4967.0,1
ferguson-20000,4915,2630131561462.919,0.06546993189974712,5.637706117451592e-05,0.007807727272727273,0.11935144458818457,4967.0,1
ferguson-20000,4916,2630207233477.4556,0.06545018372380315,5.633555224433833e-05,0.007808735632183908,0.11935144458818457,4967.0,1
ferguson-20000,4917,2630282872043.7363,0.06543044509191803,5.629407262281829e-05,0.007809743991640544,0.11935144458818457,4968.0,1
ferguson-20000,4918,2630358477192.505,0.06541071599226436,5.625262428373493e-05,0.007809743991640544,0.11935144458818457,4968.0,1
ferguson-20000,4919,2630434048953.8633,0.06539099641373186,5.621120883995302e-05,0.007810752351097179,0.11925140146614921,4968.0,1
ferguson-20000,4920,2630509587357.3813,0.06537128634580115,5.616982760769393e-05,0.007811760710553815,0.11925140146614921,4968.0,1
ferguson-20000,4921,2630585092408.264,0.0653515857824042,5.6128480233426656e-05,0.00781276907001045,0.11925140146614921,4969.0,1
ferguson-20000,4922,2630660564103.5293,0.06533189471873953,5.608716592708648e-05,0.00781276907001045,0.11925140146614921,4969.0,1
ferguson-20000,4923,2630736002469.9604,0.06531221314485179,5.6045885793955996e-05,0.007813777429467084,0.11925140146614921,4969.0,1
ferguson-20000,4924,2630811407524.202,0.06529254105281604,5.6004640151644734e-05,0.00781478578892372,0.11925140146614921,4969.0,1
ferguson-20000,4925,2630886779238.326,0.06527287844220275,5.596342660619956e-05,0.007815794148380356,0.11925140146614921,4970.0,1
ferguson-20000,4926,2630962117637.019,0.06525322530316134,5.592224627708026e-05,0.007815794148380356,0.11925140146614921,4970.0,1
ferguson-20000,4927,2631037422749.1323,0.06523358162550605,5.588110034584408e-05,0.00781680250783699,0.11925140146614921,4970.0,1
ferguson-20000,4928,2631112694603.545,0.06521394739942034,5.583998979980513e-05,0.007817810867293627,0.11925140146614921,4970.0,1
ferguson-20000,4929,2631187933228.838,0.06519432261545278,5.579891544374915e-05,0.007817810867293627,0.11925140146614921,4970.0,1
ferguson-20000,4930,2631263138653.3115,0.06517470726445933,5.575787793022524e-05,0.007818819226750262,0.11925140146614921,4971.0,1
ferguson-20000,4931,2631338310905.028,0.06515510133755048,5.571687778646176e-05,0.007819827586206897,0.11925140146614921,4971.0,1
ferguson-20000,4932,2631413450011.847,0.06513550482604762,5.5675915436652844e-05,0.007820835945663532,0.11925140146614921,4971.0,1
ferguson-20000,4933,2631488556001.4604,0.06511591772144677,5.563499122036923e-05,0.007820835945663532,0.11925140146614921,4971.0,1
ferguson-20000,4934,2631563628901.4136,0.06509634001538918,5.559410540762352e-05,0.007821844305120167,0.11925140146614921,4972.0,1
ferguson-20000,4935,2631638668739.1284,0.06507677169963677,5.5553258211317706e-05,0.007822852664576803,0.11925140146614921,4972.0,1
ferguson-20000,4936,2631713675541.9204,0.06505721276605246,5.551244979739613e-05,0.007823861024033438,0.11925140146614921,4972.0,1
ferguson-20000,4937,2631788649337.012,0.06503766320658333,5.547168029310634e-05,0.007823861024033438,0.11915135834411385,4972.0,1
ferguson-20000,4938,2631863590151.546,0.06501812301324711,5.5430949794015284e-05,0.007824869383490073,0.11915135834411385,4973.0,1
ferguson-20000,4939,2631938498012.485,0.06499859217813896,5.539025836329439e-05,0.007825877742946708,0.11915135834411385,4973.0,1
ferguson-20000,4940,2632013372946.3228,0.0649790706934696,5.534960601959576e-05,0.007826886102403344,0.11915135834411385,4973.0,1
ferguson-20000,4941,2632088215005.662,0.06495955854715718,5.530899432237323e-05,0.007826886102403344,0.11915135834411385,4973.0,1
ferguson-20000,4942,2632163024259.4473,0.06494005572491034,5.5268425543030636e-05,0.00782789446185998,0.11915135834411385,4973.0,1
ferguson-20000,4943,2632237800737.7812,0.06492056221957064,5.522789927538159e-05,0.007828902821316614,0.11915135834411385,4974.0,1
ferguson-20000,4944,2632312544421.4375,0.06490107803206223,5.518741225260572e-05,0.00782991118077325,0.11915135834411385,4974.0,1
ferguson-20000,4945,2632387255315.4526,0.06488160315833555,5.5146963169858354e-05,0.00782991118077325,0.11915135834411385,4974.0,1
ferguson-20000,4946,2632461933444.4897,0.06486213759071764,5.510655209349439e-05,0.007830919540229886,0.11915135834411385,4974.0,1
ferguson-20000,4947,2632536578834.8555,0.06484268132129022,5.506617918191575e-05,0.00783192789968652,0.11915135834411385,4975.0,1
