age_yr,step_yr,R_Rsun,L_Lsun,Teff_K,central_X,central_Y3,step_error_norm,discrete_luminosity_balance,nuclear_rest_mass_balance,last_halfstep_coupling_iterations,convective_mass_fraction,central_T_K,central_rho,surface_X,surface_Y3,nuclear_deposited_Lsun,nuclear_neutrino_Lsun,last_halfstep_gravothermal_Lsun,hydrogen_mass_Msun,thermal_neutrino_Lsun
17299369731.921852,1014764293.1685674,0.12610482463594042,0.0008415417974329297,2768.405172333426,0.6958904329747863,0.004109283196201601,0.8079687363604648,-3.9309111521390605e-11,1.7888135417365447e-11,3,1.0000000000000007,4646065.881192702,380.34935843820136,0.6958904329747863,0.004109283196201601,0.0008416305930856563,3.34248807798893e-05,-8.87617708087297e-08,0.06958904329747864,3.3914998185702835e-11
18315408802.088177,1016039070.1663269,0.12611461947910388,0.0008418645480503347,2768.5630527687285,0.6956483137815987,0.004351348901194251,0.8081939029125351,-3.9287906261620265e-11,8.026468378830032e-12,3,1.0000000000000007,4647047.646646311,380.26452634323755,0.6956483137815987,0.004351348901194251,0.0008419533150536774,3.343646799557471e-05,-8.87331168209431e-08,0.06956483137815991,3.391959683350031e-11
19332582526.402973,1017173724.3147972,0.1261244271693715,0.0008421898579643817,2768.722811254279,0.695405843333349,0.004593759309833637,0.8085174796335082,-3.9244718585962346e-11,2.6326052449121562e-11,3,1.0000000000000007,4648031.062459986,380.1796708753532,0.695405843333349,0.004593759309833637,0.0008422785674979458,3.3448074356097846e-05,-8.867564240517549e-08,0.06954058433333493,3.392421045334638e-11
20350688382.777122,1018105856.3741475,0.12613424121376346,0.000842517946314317,2768.884697100626,0.695163069784423,0.004836465853903015,0.8095439030242346,-3.9189873568545863e-11,1.2685852368576889e-11,3,1.0000000000000007,4649016.019564603,380.09485581608516,0.695163069784423,0.004836465853903015,0.0008426065296061357,3.345970589329507e-05,-8.854939598950859e-08,0.06951630697844227,3.392884743601785e-11
21369080999.14933,1018392616.3722103,0.1261440851700385,0.0008428466699801881,2769.04668932145,0.6949201471708331,0.005079314116219549,0.7995159112539341,-3.8781311495483806e-11,2.8342661551050696e-11,3,1.0000000000000007,4650001.377388562,380.00984278472083,0.6949201471708331,0.005079314116219549,0.0008429357292825992,3.347130381105252e-05,-8.902540165047273e-08,0.06949201471708333,3.393344723267568e-11
22394128983.047077,1025047983.8977457,0.1261540646901748,0.0008431769228641897,2769.2083618484007,0.6946755564386651,0.005323822175668677,0.8029540277121328,-3.952338456514326e-11,2.5774493650487784e-11,3,1.0000000000000007,4650992.556355158,379.92368064147365,0.6946755564386651,0.005323822175668677,0.0008432664080977379,3.348286658025335e-05,-8.945132891757516e-08,0.06946755564386656,3.393795570623849e-11
23423664574.076378,1029535591.0292988,0.12616413502871765,0.0008435090683905702,2769.3705029711136,0.6944298143262267,0.0055694729097640824,0.802470685457024,-3.9887204650312924e-11,2.4684920774120656e-11,3,1.0000000000000007,4651987.86236372,379.8367780859162,0.6944298143262267,0.0055694729097640824,0.0008435989242694111,3.349440921677025e-05,-8.982197007847327e-08,0.06944298143262265,3.394240769314435e-11
24458018782.998074,1034354208.9216965,0.12617430641629943,0.0008438428251249689,2769.532768055036,0.694182841529808,0.005816345031657307,0.8011780172623162,-4.027189692834554e-11,8.61644089411584e-12,3,1.0000000000000007,4652987.494265806,379.7490386831293,0.694182841529808,0.005816345031657307,0.0008439331296453471,3.3505922993750317e-05,-9.027060757055199e-08,0.0694182841529809,3.3946790833090125e-11
25498052174.658733,1040033391.6606638,0.1261845939942887,0.0008441783655328391,2769.695131192924,0.693934432216069,0.0060646436936151425,0.8005116169940152,-4.078481996572236e-11,2.1264989769065323e-11,3,1.0000000000000007,4653992.203735638,379.66034509910327,0.693934432216069,0.0060646436936151425,0.0008442691559104931,3.351740917084678e-05,-9.075646098389923e-08,0.06939344322160688,3.3951099652150524e-11
26544231114.47845,1046178939.8197206,0.12619505103542283,0.0008445130670048947,2769.8548559885717,0.6936844749903178,0.0063144796048310615,0.7913702670947487,-4.11430889357689e-11,1.549138595180466e-11,3,1.0000000000000007,4655001.531640189,379.57014557047165,0.6936844749903178,0.0063144796048310615,0.0008446049320190031,3.352878205464686e-05,-9.183109361975187e-08,0.06936844749903177,3.395523454743138e-11
