mass_g,radius_cm,density_g_cm3,temperature_K,luminosity_erg_s,X,Y3,Y4
7.576204161565281e+27,179697096.60564688,311.5263186264725,8463388.60844899,2.5237336543255473e+27,0.1518462174411494,0.00022909523157675852,0.827924687327274
8.700372885027186e+27,188183536.72539806,311.4838914967273,8462806.409585064,2.897567613219436e+27,0.15185465835142603,0.00022922272229850135,0.8279161189262755
9.958676434499985e+27,196856095.60021707,311.4385274804183,8462183.809282152,3.3158472829570406e+27,0.15186367347379714,0.00022935913104322824,0.8279069673951597
1.1363327084468992e+28,205713917.38118818,311.3900984153262,8461519.08433556,3.7825843772117857e+27,0.15187329538682076,0.0002295048653435567,0.8278971997478357
1.2927307606494058e+28,214756147.22212335,311.33847774945167,8460810.486041112,4.3020371912365193e+27,0.15188354876845442,0.0002296603279759473,0.8278867909035696
1.4664397588513206e+28,223981931.33387074,311.2835323261408,8460056.240910048,4.8787179962272277e+27,0.1518944705115846,0.0002298259479371994,0.8278757035404782
1.6589199692033747e+28,233390416.88923818,311.22514107761083,8459254.551388929,5.517400183298881e+27,0.15190606436838325,0.00023000211075229702,0.8278639335208645
1.871716581685916e+28,242980752.12728855,311.1631628059109,8458403.596588533,6.223125319882509e+27,0.15191837948721093,0.0002301892793828823,0.8278514312334063
2.1064623142902505e+28,252752086.362183,311.097474919428,8457501.533013504,7.00120995109779e+27,0.15193141627007123,0.00023038784941978966,0.8278381958805091
2.364880001853041e+28,262703570.0272207,311.0279324959604,8456546.495297233,7.857252193690225e+27,0.15194522616121436,0.00023059830288901627,0.8278241755358968
2.6487851664793486e+28,272834354.70549226,310.95441019964335,8455536.596940393,8.797138073712595e+27,0.1519598097254944,0.00023082105127759939,0.8278093692232281
2.960088566479637e+28,283143593.17735213,310.87675942482514,8454469.93105359,9.827047608266086e+27,0.15197522115931014,0.00023105659688831207,0.8277937222438017
3.3007987207375303e+28,293630439.5291817,310.79484751926634,8453344.57110199,1.0953460661527796e+28,0.15199147289355341,0.00023130538575113498,0.8277772217206956
3.673024405416962e+28,304294048.89276856,310.70854107617686,8452158.571655624,1.2183162129797374e+28,0.1520085764171299,0.00023156787071072088,0.8277598557121595
4.0789771199083745e+28,315133577.788473,310.6176866162449,8450909.969156697,1.3523247344728297e+28,0.1520265895337147,0.00023184458485213987,0.8277415658814332
4.520973518908418e+28,326148184.1528844,310.5221487066906,8449596.782671794,1.4981126872160677e+28,0.152045523576635,0.00023213599804938984,0.8277223404253157
5.001437807519959e+28,337337027.1589718,310.4217838975224,8448217.014653193,1.6564530664117873e+28,0.1520654070949616,0.00023244261574719251,0.8277021502892913
5.522904096254688e+28,348699267.3519451,310.3164488920491,8446768.651716886,1.8281512137098326e+28,0.15208626608091577,0.00023276494856106216,0.8276809689705232
