age_yr,step_yr,R_Rsun,L_Lsun,Teff_K,central_X,central_Y3,step_error_norm,discrete_luminosity_balance,nuclear_rest_mass_balance,last_halfstep_coupling_iterations,convective_mass_fraction,central_T_K,central_rho,surface_X,surface_Y3
1820606640951.2761,2219982077.968943,0.14748140718969585,0.0015954951642081256,3003.87472792018,0.4527693724950964,0.034736975677157805,0.8159336007534934,2.220446049250313e-16,-1.2333084553617368e-09,4,1.0000000000000007,5675410.145321184,243.58297922236292,0.4527693724950964,0.034736975677157805
1822818536266.4824,2211895315.2062593,0.1474849004013717,0.001595988708362214,3004.071425983383,0.4525123044674254,0.034612443617682766,0.8152639870834255,-1.1102230246251565e-15,-1.2280130246011822e-09,4,1.0000000000000007,5677284.494111456,243.5730182493085,0.4525123044674254,0.034612443617682766
1825023279147.5076,2204742881.025124,0.1474883824990199,0.0015964760779590113,3004.2652743065037,0.45225574418487724,0.03448864713192144,0.8144906273044317,-1.6653345369377348e-15,-1.2246235137070016e-09,4,1.0000000000000007,5679154.295513264,243.56295939039936,0.45225574418487724,0.03448864713192144
1827221935793.3796,2198656645.8719387,0.14749185434437825,0.001596958397842385,3004.45679531509,0.45199957020721915,0.034365525035458144,0.8134885659538682,-1.9984014443252818e-15,-1.2138392513350027e-09,4,1.0000000000000007,5681020.568754319,243.552820013643,0.45199957020721915,0.034365525035458144
1829415873012.3901,2193937219.010364,0.14749531643119645,0.0015974379065042672,3004.6470383246838,0.4517436254136941,0.03424299945358805,0.8112782189095835,1.3322676295501878e-15,-1.222900336550481e-09,4,1.0000000000000007,5682884.786033532,243.54264926647667,0.4517436254136941,0.03424299945358805
1831608081208.3325,2192208195.942208,0.14749877158094937,0.0015979173741708095,3004.837277909311,0.4514875621175931,0.03412090224458166,0.8099777294712229,4.440892098500626e-16,-1.2329147702772048e-09,4,1.0000000000000007,5684749.856513551,243.53249669097065,0.4514875621175931,0.03412090224458166
1833800319541.7085,2192238333.375838,0.14750224027732853,0.001598393325283071,3005.025671928604,0.4512311749880073,0.033999136125827646,0.8133634569335024,1.5543122344752192e-15,-1.2366137003283484e-09,4,1.0000000000000007,5686616.5657031,243.52223048266217,0.4512311749880073,0.033999136125827646
1835988020458.406,2187700916.697467,0.14750570051998244,0.0015988691716886402,3005.2140488902965,0.45097499926394075,0.033877953862190224,0.8094186654955537,-8.881784197001252e-16,-1.2456965459151093e-09,4,1.0000000000000007,5688481.786467407,243.51200112969784,0.45097499926394075,0.033877953862190224
1838176506851.033,2188486392.626883,0.14750915872779125,0.0015993463461422398,3005.4030165654817,0.4507184122137657,0.03375705968025491,0.8092440855617111,-1.6653345369377348e-15,-1.2605557708766923e-09,4,1.0000000000000007,5690350.11289323,243.5017896031778,0.4507184122137657,0.03375705968025491
1840366015137.023,2189508285.9900064,0.1475126162153259,0.0015998256417081933,3005.5929336342265,0.4504613856773437,0.03363644048626349,0.8082171805423588,2.886579864025407e-15,-1.2748555544561668e-09,4,1.0000000000000007,5692221.879957334,243.49161369816886,0.4504613856773437,0.03363644048626349
