10 52 19 OPAL GS98 Z=0.020; original cells, logT=4.0..7.1
-0.694 -0.693 -0.689 -0.682 -0.668 -0.642 -0.588 -0.479 -0.261 0.114 0.622 1.135 1.563 1.890 2.149 2.381 2.613 2.833 3.009
-0.695 -0.693 -0.689 -0.683 -0.671 -0.646 -0.595 -0.494 -0.298 0.044 0.524 1.038 1.481 1.821 2.089 2.326 2.558 2.765 2.932
-0.693 -0.691 -0.687 -0.681 -0.669 -0.646 -0.599 -0.505 -0.322 -0.001 0.453 0.954 1.404 1.758 2.035 2.279 2.508 2.697 2.853
-0.692 -0.689 -0.685 -0.677 -0.666 -0.643 -0.600 -0.510 -0.335 -0.026 0.411 0.901 1.349 1.708 1.993 2.240 2.460 2.626 2.789
-0.694 -0.689 -0.681 -0.669 -0.654 -0.631 -0.590 -0.512 -0.353 -0.068 0.330 0.794 1.242 1.620 1.921 2.168 2.349 2.495 2.679
-0.698 -0.696 -0.691 -0.679 -0.657 -0.623 -0.572 -0.492 -0.348 -0.096 0.270 0.715 1.162 1.544 1.835 2.057 2.199 2.335 2.552
-0.700 -0.699 -0.697 -0.693 -0.681 -0.654 -0.593 -0.488 -0.327 -0.085 0.255 0.677 1.099 1.449 1.710 1.890 2.016 2.182 2.413
-0.701 -0.700 -0.699 -0.697 -0.692 -0.678 -0.643 -0.554 -0.368 -0.084 0.262 0.653 1.017 1.305 1.525 1.685 1.822 2.025 2.274
-0.702 -0.701 -0.700 -0.699 -0.696 -0.688 -0.667 -0.610 -0.466 -0.184 0.194 0.565 0.874 1.113 1.304 1.466 1.638 1.872 2.130
-0.702 -0.702 -0.702 -0.701 -0.699 -0.693 -0.679 -0.639 -0.536 -0.317 0.029 0.388 0.677 0.899 1.078 1.252 1.463 1.723 1.991
-0.703 -0.703 -0.703 -0.703 -0.701 -0.698 -0.687 -0.659 -0.583 -0.420 -0.140 0.182 0.459 0.677 0.860 1.057 1.299 1.578 1.851
-0.705 -0.704 -0.704 -0.704 -0.703 -0.701 -0.694 -0.674 -0.622 -0.500 -0.283 -0.013 0.242 0.458 0.657 0.886 1.153 1.450 1.713
-0.706 -0.706 -0.706 -0.706 -0.705 -0.703 -0.697 -0.683 -0.645 -0.558 -0.396 -0.173 0.065 0.271 0.498 0.749 1.029 1.323 1.571
-0.708 -0.708 -0.708 -0.708 -0.707 -0.704 -0.698 -0.685 -0.656 -0.591 -0.469 -0.289 -0.084 0.136 0.386 0.639 0.922 1.199 1.433
-0.711 -0.711 -0.711 -0.710 -0.710 -0.708 -0.701 -0.686 -0.655 -0.597 -0.495 -0.345 -0.162 0.057 0.290 0.533 0.805 1.079 1.280
0.1000 0.0200
-0.947 -1.047 -1.144 -1.224 -1.262 -1.241 -1.151 -0.977 -0.713 -0.372 -0.011 0.313 0.559 0.736 0.877 1.003 1.137 1.280 1.450
-0.870 -0.875 -0.903 -0.959 -1.030 -1.079 -1.062 -0.937 -0.687 -0.330 0.083 0.505 0.871 1.156 1.363 1.521 1.657 1.789 1.925
-0.848 -0.843 -0.838 -0.833 -0.829 -0.824 -0.803 -0.730 -0.568 -0.290 0.097 0.536 0.973 1.360 1.667 1.897 2.070 2.217 2.356
-0.842 -0.827 -0.812 -0.795 -0.767 -0.709 -0.603 -0.457 -0.286 -0.077 0.197 0.553 0.981 1.425 1.821 2.137 2.354 2.534 2.692
-0.848 -0.834 -0.814 -0.786 -0.748 -0.683 -0.558 -0.354 -0.091 0.182 0.445 0.725 1.059 1.462 1.889 2.269 2.570 2.797 2.965
-0.843 -0.834 -0.817 -0.789 -0.745 -0.670 -0.539 -0.335 -0.049 0.296 0.643 0.960 1.261 1.587 1.961 2.351 2.712 2.982 3.194
-0.827 -0.821 -0.808 -0.786 -0.747 -0.678 -0.548 -0.339 -0.055 0.304 0.710 1.113 1.472 1.795 2.122 2.472 2.823 3.137 3.383
-0.779 -0.790 -0.786 -0.769 -0.734 -0.669 -0.550 -0.354 -0.067 0.303 0.733 1.178 1.613 2.004 2.339 2.657 2.979 3.291 3.575
-0.649 -0.682 -0.710 -0.719 -0.699 -0.643 -0.535 -0.355 -0.081 0.290 0.725 1.195 1.679 2.139 2.535 2.885 3.196 3.485 3.772
-0.607 -0.600 -0.597 -0.600 -0.597 -0.559 -0.468 -0.299 -0.037 0.321 0.760 1.237 1.734 2.223 2.676 3.083 3.427 3.726 3.993
-0.596 -0.584 -0.564 -0.531 -0.477 -0.408 -0.316 -0.177 0.045 0.370 0.787 1.261 1.766 2.276 2.772 3.225 3.622 3.952 4.222
-0.591 -0.574 -0.551 -0.514 -0.443 -0.317 -0.144 0.043 0.258 0.533 0.893 1.334 1.824 2.327 2.835 3.322 3.763 4.127 4.417
-0.595 -0.579 -0.554 -0.512 -0.439 -0.305 -0.089 0.201 0.506 0.790 1.095 1.467 1.902 2.380 2.879 3.386 3.853 4.248 4.562
-0.589 -0.575 -0.554 -0.518 -0.448 -0.318 -0.100 0.216 0.612 1.007 1.356 1.682 2.049 2.469 2.941 3.439 3.913 4.325 4.659
-0.588 -0.571 -0.549 -0.515 -0.456 -0.337 -0.133 0.172 0.568 1.027 1.486 1.885 2.238 2.602 3.026 3.492 3.957 4.375 4.721
-0.586 -0.572 -0.542 -0.514 -0.457 -0.353 -0.170 0.115 0.490 0.941 1.440 1.937 2.375 2.753 3.140 3.560 3.997 4.408 4.759
-0.588 -0.568 -0.545 -0.513 -0.458 -0.358 -0.188 0.076 0.430 0.856 1.337 1.858 2.377 2.838 3.241 3.635 4.041 4.437 4.784
-0.587 -0.570 -0.546 -0.511 -0.459 -0.365 -0.204 0.048 0.385 0.790 1.253 1.759 2.297 2.821 3.283 3.696 4.088 4.468 4.804
-0.576 -0.559 -0.537 -0.503 -0.450 -0.358 -0.206 0.031 0.358 0.752 1.198 1.696 2.229 2.766 3.273 3.725 4.128 4.501 4.822
-0.550 -0.534 -0.512 -0.480 -0.430 -0.344 -0.197 0.032 0.350 0.744 1.184 1.670 2.191 2.723 3.248 3.731 4.157 4.531 4.840
-0.495 -0.487 -0.472 -0.443 -0.394 -0.313 -0.177 0.042 0.357 0.751 1.191 1.668 2.188 2.708 3.239 3.737 4.179 4.553 4.845
-0.414 -0.401 -0.386 -0.364 -0.322 -0.244 -0.111 0.096 0.399 0.787 1.221 1.699 2.214 2.724 3.250 3.750 4.196 4.560 4.830
-0.334 -0.312 -0.290 -0.259 -0.214 -0.142 -0.017 0.174 0.445 0.808 1.245 1.728 2.228 2.751 3.274 3.766 4.198 4.540 4.784
-0.296 -0.252 -0.209 -0.160 -0.099 -0.011 0.120 0.301 0.552 0.890 1.304 1.776 2.266 2.783 3.293 3.764 4.169 4.481 4.698
-0.309 -0.254 -0.190 -0.116 -0.027 0.089 0.244 0.444 0.692 1.009 1.393 1.845 2.318 2.811 3.290 3.723 4.094 4.377 4.582
-0.374 -0.308 -0.233 -0.141 -0.027 0.117 0.303 0.528 0.788 1.088 1.460 1.892 2.346 2.810 3.246 3.634 3.974 4.238 4.444
-0.454 -0.387 -0.307 -0.210 -0.084 0.082 0.295 0.551 0.837 1.153 1.512 1.918 2.346 2.773 3.164 3.512 3.826 4.081 4.293
-0.536 -0.481 -0.408 -0.311 -0.186 -0.017 0.213 0.496 0.814 1.151 1.514 1.907 2.308 2.704 3.057 3.373 3.668 3.922 4.141
-0.595 -0.556 -0.498 -0.416 -0.302 -0.144 0.084 0.389 0.741 1.108 1.483 1.864 2.245 2.616 2.939 3.232 3.512 3.768 3.993
-0.630 -0.608 -0.567 -0.501 -0.402 -0.254 -0.033 0.278 0.651 1.042 1.430 1.807 2.175 2.521 2.821 3.097 3.365 3.625 3.848
-0.644 -0.634 -0.611 -0.567 -0.488 -0.359 -0.153 0.151 0.537 0.952 1.361 1.745 2.100 2.427 2.708 2.970 3.230 3.492 3.715
-0.649 -0.645 -0.633 -0.607 -0.552 -0.447 -0.262 0.030 0.428 0.864 1.292 1.678 2.026 2.338 2.604 2.855 3.108 3.370 3.590
-0.652 -0.649 -0.642 -0.626 -0.592 -0.516 -0.360 -0.084 0.311 0.769 1.216 1.612 1.956 2.255 2.510 2.751 2.999 3.258 3.474
