pulse_years,Teff_K,radius_cm,photon_luminosity_erg_s,nuclear_power_erg_s,logg,run
1631056.4364848863,6367.38148002757,10140456899.968857,1.2044260146020142e+32,4.533046664251014e+31,5.110796587009032,36
1637456.4364848863,6366.789669260325,10122983080.878006,1.1998325352494533e+32,4.513372723893533e+31,5.11229461204272,36
1643856.4364848863,6366.195294984383,10105630939.858473,1.195276268952924e+32,4.4938442008571765e+31,5.113784766718594,36
1650256.4364848863,6365.5978551603075,10088398442.162228,1.1907561914169474e+32,4.474459815153047e+31,5.11526718121526,36
1656656.4364848863,6364.997403981786,10071284378.434637,1.1862718978793576e+32,4.455218290471949e+31,5.116741915771644,36
1663056.4364848863,6364.393932028186,10054287495.26576,1.1818229285551209e+32,4.436118358545165e+31,5.118209035189886,36
1669456.4364848863,6363.787574736749,10037406474.423592,1.1774089189957146e+32,4.417158778875158e+31,5.119668610661592,36
1675856.4364848863,6363.178420407437,10020640059.959782,1.1730294864527057e+32,4.398338347379519e+31,5.121120708794155,36
1682256.4364848863,6362.566438504403,10003986976.543093,1.1686841585920276e+32,4.379655835822305e+31,5.122565398653033,37
1688656.4364848863,6361.951605820085,9987446049.319424,1.1643724954062489e+32,4.36111003422694e+31,5.124002741348535,37
1695056.4364848863,6361.333989777248,9971016108.589153,1.1600941274275621e+32,4.342699731710684e+31,5.1254327982642485,37
1701456.4364848863,6360.713876081041,9954695822.456724,1.1558488084282701e+32,4.324423731622933e+31,5.126855645652564,37
1707856.4364848863,6360.091184104358,9938483955.868523,1.1516360495753244e+32,4.306280844242904e+31,5.128271352108291,37
1714256.4364848863,6359.46593437894,9922379354.242867,1.147455457532069e+32,4.288269894524289e+31,5.129679979929343,37
1720656.4364848863,6358.837952576345,9906380493.096731,1.1433064160908428e+32,4.270389713173864e+31,5.131081624545302,37
1727056.4364848863,6358.207379259916,9890486525.482018,1.1391886960712007e+32,4.252639144034736e+31,5.132476322788661,37
1733456.4364848863,6357.574392603807,9874696614.703209,1.1351020983226353e+32,4.235017041223062e+31,5.133864111109398,37
1739856.4364848863,6356.938943182764,9859009596.44908,1.131046186972215e+32,4.21752226656451e+31,5.135245055332939,37
1746256.4364848863,6356.301207061586,9843424288.314495,1.1270206852074857e+32,4.200153692339723e+31,5.136619223574891,37
1752656.4364848863,6355.66137185468,9827940151.23266,1.1230254724781671e+32,4.1829102033656585e+31,5.137986627793585,37
1759056.4364848863,6355.019275643836,9812555454.265486,1.1190599099933177e+32,4.165790690267108e+31,5.139347385790603,37
1765456.4364848863,6354.374857041306,9797269126.645248,1.1151235851393889e+32,4.14879404972794e+31,5.140701557838669,37
1771856.4364848863,6353.7282482741775,9782080154.366068,1.1112162367685188e+32,4.131919188807485e+31,5.142049199800663,37
1778256.4364848863,6353.079453858643,9766987507.782375,1.107337512298307e+32,4.11516502370581e+31,5.1433903695268475,37
